statecounty,margin,coolidge,davis,other,lafollette
13123,8.06%, 54.03%, 45.97%,-,-
13125,20.98%, 12.68%, 54.15%,-, 33.17%
13127,33.92%, 29.18%, 63.09%,-, 7.73%
13129,35.67%, 29.63%, 65.30%,-, 5.07%
13131,85.71%, 6.35%, 92.06%, 1.59%,-
13133,52.75%, 9.86%, 71.45%,-, 18.69%
13135,60.27%, 15.52%, 75.79%,-, 8.70%
13137,40.77%, 27.01%, 67.79%,-, 5.20%
13139,59.47%, 15.57%, 75.04%,-, 9.39%
13141,81.17%, 7.14%, 88.31%,-, 4.55%
13143,17.81%, 54.01%, 36.19%,-, 9.80%
13145,80.66%, 3.87%, 88.39%,-, 7.74%
13147,59.27%, 5.82%, 76.72%,-, 17.46%
13149,79.13%, 9.49%, 88.62%, 1.90%,-
13151,73.81%, 7.42%, 83.19%,-, 9.38%
13153,89.88%, 4.39%, 94.27%, 1.35%,-
13155,71.91%, 10.80%, 82.72%,-, 6.48%
13157,70.10%, 11.70%, 81.80%,-, 6.51%
13159,72.38%, 12.95%, 85.33%, 1.71%,-
13161,49.70%, 23.35%, 73.05%,-, 3.59%
13163,58.50%, 15.10%, 73.61%,-, 11.29%
13165,73.33%, 6.67%, 83.33%,-, 10.00%
13167,63.16%, 14.18%, 77.34%,-, 8.48%
13169,87.58%, 5.87%, 93.45%, 0.68%,-
13171,83.73%, 5.72%, 89.46%,-, 4.82%
13173,76.92%, 11.41%, 88.34%, 0.25%,-
13175,77.44%, 9.31%, 86.76%,-, 3.93%
13177,76.73%, 9.39%, 86.12%,-, 4.49%
13179,69.95%, 9.38%, 80.29%,-, 10.34%
13181,43.59%, 9.57%, 67.01%,-, 23.42%
13183,80.32%, 3.37%, 88.48%,-, 8.16%
13185,85.55%, 4.71%, 90.42%,-, 4.87%
13187,51.46%, 23.22%, 74.69%,-, 2.09%
13189,1.96%, 6.61%, 47.68%,-, 45.71%
13191,47.98%, 25.43%, 73.41%, 1.16%,-
13193,79.60%, 6.93%, 86.53%,-, 6.53%
13195,55.83%, 17.64%, 73.47%,-, 8.89%
13197,75.08%, 9.66%, 84.74%,-, 5.61%
13199,40.87%, 7.74%, 66.57%,-, 25.69%
